Promo ID,Offer ID,Offer Name,Type,Code,Title,Description,Category,Offer Page (Ctrl C to copy),Date Added,Expiry
P18452,44,Makemytrip.com Hotels CPS - India,Coupon,SCIHOT,Get 10% (up to Rs 1750) cash back on International hotel bookings on Standard Chartered bank cards.,T&amp;amp;C : Min booking amount Rs. 5000,Hotels,http://tracking.vcommission.com/aff_c?offer_id=44&aff_id=48172&url=http%3A%2F%2Fwww.makemytrip.com%2Fhotels%2F%3Fcmp%3Ddisp_htlvcommho_48172%26affid%3Dvcomhtl_48172,"May 20, 2015","Mar 31, 2016"
P18453,44,Makemytrip.com Hotels CPS - India,Coupon,SCHOT,Get 15% (up to Rs 1750) cash back on domestic hotel bookings on Standard Chartered bank cards.,T&amp;amp;C : Min booking amount Rs. 4000,Hotels,http://tracking.vcommission.com/aff_c?offer_id=44&aff_id=48172&url=http%3A%2F%2Fwww.makemytrip.com%2Fhotels%2F%3Fcmp%3Ddisp_htlvcommho_48172%26affid%3Dvcomhtl_48172,"May 20, 2015","Mar 31, 2016"
P22819,44,Makemytrip.com Hotels CPS - India,Coupon,AXISHOT,15% up to INR1500 on Domestic Hotel,T&amp;amp;C: Min booking amount Rs. 4000,Hotels,http://tracking.vcommission.com/aff_c?offer_id=44&aff_id=48172&url=http%3A%2F%2Fwww.makemytrip.com%2Fhotels%2F%3Fcmp%3Ddisp_htlvcommho_48172%26affid%3Dvcomhtl_48172,"Jul 23, 2015","Mar 31, 2016"
P22820,44,Makemytrip.com Hotels CPS - India,Coupon,AXISIHOT,10% upto INR1500 on international Hotel,T&amp;amp;C: Min booking amount Rs. 5000,Hotels,http://tracking.vcommission.com/aff_c?offer_id=44&aff_id=48172&url=http%3A%2F%2Fwww.makemytrip.com%2Fhotels%2F%3Fcmp%3Ddisp_htlvcommho_48172%26affid%3Dvcomhtl_48172,"Jul 23, 2015","Mar 31, 2016"
P22821,44,Makemytrip.com Hotels CPS - India,Coupon,SBIIHOT,Get 10% (up to Rs 1500) cash back on International hotel bookings on SBI Cards,T&amp;amp;C: Min booking amount Rs. 4000,Hotels,http://tracking.vcommission.com/aff_c?offer_id=44&aff_id=48172&url=http%3A%2F%2Fwww.makemytrip.com%2Fhotels%2F%3Fcmp%3Ddisp_htlvcommho_48172%26affid%3Dvcomhtl_48172,"Jul 23, 2015","Mar 31, 2016"
P22822,44,Makemytrip.com Hotels CPS - India,Coupon,SBIHOT,Get 15% (up to Rs 1500) cash back on Domestic hotel,T&amp;amp;C: Min booking amount Rs. 5000,Hotels,http://tracking.vcommission.com/aff_c?offer_id=44&aff_id=48172&url=http%3A%2F%2Fwww.makemytrip.com%2Fhotels%2F%3Fcmp%3Ddisp_htlvcommho_48172%26affid%3Dvcomhtl_48172,"Jul 23, 2015","Mar 31, 2016"
P22823,44,Makemytrip.com Hotels CPS - India,Coupon,INDIHOT,Get 10% up to Rs 1500 off on international hotel bookings on Indusind Bank Cards,T&amp;amp;C: Min booking amount Rs. 5000,Hotels,http://tracking.vcommission.com/aff_c?offer_id=44&aff_id=48172&url=http%3A%2F%2Fwww.makemytrip.com%2Fhotels%2F%3Fcmp%3Ddisp_htlvcommho_48172%26affid%3Dvcomhtl_48172,"Jul 23, 2015","Mar 31, 2016"
P22824,44,Makemytrip.com Hotels CPS - India,Coupon,INDHOT,"Get 10% up to Rs 1500 off on domestic hotel bookings on Indusind Bank Cards,",T&amp;amp;C: Min booking amount Rs. 4000,Hotels,http://tracking.vcommission.com/aff_c?offer_id=44&aff_id=48172&url=http%3A%2F%2Fwww.makemytrip.com%2Fhotels%2F%3Fcmp%3Ddisp_htlvcommho_48172%26affid%3Dvcomhtl_48172,"Jul 23, 2015","Mar 31, 2016"
P22825,44,Makemytrip.com Hotels CPS - India,Coupon,HTLHOTEL,15% off on domestic hotel,T&amp;amp;C: Min booking Rs. 5000. Max dis 1000,Hotels,http://tracking.vcommission.com/aff_c?offer_id=44&aff_id=48172&url=http%3A%2F%2Fwww.makemytrip.com%2Fhotels%2F%3Fcmp%3Ddisp_htlvcommho_48172%26affid%3Dvcomhtl_48172,"Jul 23, 2015","Mar 31, 2016"
P37048,44,Makemytrip.com Hotels CPS - India,Coupon,MMTSUMMER,Get 25% Off on All International Hotels,"T&amp;amp;C : To avail the offer, customer must enter E-Coupon MMTSUMMER in the E-Coupon field. This offer is valid for hotel check outs till 3oth Jun, 2016. Maximum discount of Rs.1500",Hotels,http://tracking.vcommission.com/aff_c?offer_id=44&aff_id=48172&url=http%3A%2F%2Fwww.makemytrip.com%2Fhotels%2F%3Fcmp%3Ddisp_htlvcommho_48172%26affid%3Dvcomhtl_48172,"Mar 02, 2016","Mar 31, 2016"
P37049,44,Makemytrip.com Hotels CPS - India,Coupon,MMTGO,Get 55% Off on All Domestic Hotels,"T&amp;amp;C : The offer is valid for bookings made on Desktop, MakeMyTrip&amp;#039;s Android, iOS and Windows App only. Offer valid for booking made on or before 31st March, 2016. To avail the offer, customer must enter E-Coupon MMTGO in the E-Coupon field. Maximum discount amount Rs.2,000 on Domestic Hotels.",Hotels,http://tracking.vcommission.com/aff_c?offer_id=44&aff_id=48172&url=http%3A%2F%2Fwww.makemytrip.com%2Fhotels%2F%3Fcmp%3Ddisp_htlvcommho_48172%26affid%3Dvcomhtl_48172,"Mar 02, 2016","Mar 31, 2016"
P37438,44,Makemytrip.com Hotels CPS - India,Coupon,MMTAGAIN,"Get 70% Off (maximum of Rs. 2,000)   20% Cashback to wallet (maximum of Rs. 2,000)",T&amp;amp;C : The offer is applicable for hotel check outs till 30th Sep 2016,Hotels,http://tracking.vcommission.com/aff_c?offer_id=44&aff_id=48172&url=http%3A%2F%2Fwww.makemytrip.com%2Fhotels%2F%3Fcmp%3Ddisp_htlvcommho_48172%26affid%3Dvcomhtl_48172,"Mar 14, 2016","Mar 30, 2016"
P36977,52,Pepperfry.com CPS - India,Coupon,PEP1VC250,Get 10% Off on orders of Rs.1000 &amp;amp; above site wide,T&amp;amp;C : Valid once per user. Maximum discount of Rs.250. Excluding Hot priced items,,http://tracking.vcommission.com/aff_c?offer_id=52&aff_id=48172&url=http%3A%2F%2Fwww.pepperfry.com%2F%3Futm_source%3Daff%26utm_campaign%3Dvcinternet%26utm_medium%3Dvcinternet,"Mar 01, 2016","Mar 31, 2016"
P37034,52,Pepperfry.com CPS - India,Coupon,PR1UW,Register &amp;amp; get 30% off on items of Rs.1000 &amp;amp; above,T&amp;amp;C : Maximum discount of Rs.10000. Coupon is not applicable on Hot priced items,,http://tracking.vcommission.com/aff_c?offer_id=52&aff_id=48172&url=http%3A%2F%2Fwww.pepperfry.com%2F%3Futm_source%3Daff%26utm_campaign%3Dvcinternet%26utm_medium%3Dvcinternet,"Mar 01, 2016","Mar 31, 2016"
P37046,52,Pepperfry.com CPS - India,Coupon,PEPFUR1000,Get Rs. 1000 off  on orders above Rs. 3000 on Furniture (Top Brands Only),"T&amp;amp;C : Coupon valid on these brands only : Amberville, Bohemiana, Casakraft, Mintwood, Mollycoddle, Mudramark, Woodsworth.",,http://tracking.vcommission.com/aff_c?offer_id=52&aff_id=48172&url=http%3A%2F%2Fwww.pepperfry.com%2F%3Futm_source%3Daff%26utm_campaign%3Dvcinternet%26utm_medium%3Dvcinternet,"Mar 02, 2016","Mar 15, 2016"
P37308,52,Pepperfry.com CPS - India,Coupon,PEP1VC1000,Get Rs. 1000 off  on orders above Rs. 3000 on Furniture,"T&amp;amp;C : Coupon is applicable on these brands : Amberville, Bohemiana, Casakraft, Mintwood, Mollycoddle, Mudramark, Woodsworth",Furniture,http://tracking.vcommission.com/aff_c?offer_id=52&aff_id=48172&url=http%3A%2F%2Fwww.pepperfry.com%2F%3Futm_source%3Daff%26utm_campaign%3Dvcinternet%26utm_medium%3Dvcinternet,"Mar 07, 2016","Mar 15, 2016"
P36842,90,Printland.in CPS - India,Coupon,MUG20,Get Flat 20% Off on Personalized Coffee Mug,,,http://tracking.vcommission.com/aff_c?offer_id=90&aff_id=48172&url=http%3A%2F%2Fwww.printland.in%2F%3Futm_source%3Dvcom%26utm_medium%3Daffiliate%26utm_campaign%3Dproduct,"Feb 26, 2016","Mar 31, 2016"
P36843,90,Printland.in CPS - India,Coupon,MUG20,Get Flat 20% Off on Couple Coffee Mug,,,http://tracking.vcommission.com/aff_c?offer_id=90&aff_id=48172&url=http%3A%2F%2Fwww.printland.in%2F%3Futm_source%3Dvcom%26utm_medium%3Daffiliate%26utm_campaign%3Dproduct,"Feb 26, 2016","Mar 31, 2016"
P36844,90,Printland.in CPS - India,Coupon,PG10,Get Flat 10% Off on Personalized Cushions,,,http://tracking.vcommission.com/aff_c?offer_id=90&aff_id=48172&url=http%3A%2F%2Fwww.printland.in%2F%3Futm_source%3Dvcom%26utm_medium%3Daffiliate%26utm_campaign%3Dproduct,"Feb 26, 2016","Mar 31, 2016"
P36845,90,Printland.in CPS - India,Coupon,PG10,Get Flat 10% Off on Personalized Cushion Cover,,,http://tracking.vcommission.com/aff_c?offer_id=90&aff_id=48172&url=http%3A%2F%2Fwww.printland.in%2F%3Futm_source%3Dvcom%26utm_medium%3Daffiliate%26utm_campaign%3Dproduct,"Feb 26, 2016","Mar 31, 2016"
P36846,90,Printland.in CPS - India,Coupon,MUG20,Get Flat 20% Off on Magic Mugs,,,http://tracking.vcommission.com/aff_c?offer_id=90&aff_id=48172&url=http%3A%2F%2Fwww.printland.in%2F%3Futm_source%3Dvcom%26utm_medium%3Daffiliate%26utm_campaign%3Dproduct,"Feb 26, 2016","Mar 31, 2016"
P36847,90,Printland.in CPS - India,Coupon,PEN5,Get Flat 5% Off on personalized pens with name,,,http://tracking.vcommission.com/aff_c?offer_id=90&aff_id=48172&url=http%3A%2F%2Fwww.printland.in%2F%3Futm_source%3Dvcom%26utm_medium%3Daffiliate%26utm_campaign%3Dproduct,"Feb 26, 2016","Mar 31, 2016"
P36848,90,Printland.in CPS - India,Coupon,PD5,Get Flat 5% Off on personalized pen drives,,,http://tracking.vcommission.com/aff_c?offer_id=90&aff_id=48172&url=http%3A%2F%2Fwww.printland.in%2F%3Futm_source%3Dvcom%26utm_medium%3Daffiliate%26utm_campaign%3Dproduct,"Feb 26, 2016","Mar 31, 2016"
P36849,90,Printland.in CPS - India,Promotion,,Buy personalized power banks at Rs.599,,,http://tracking.vcommission.com/aff_c?offer_id=90&aff_id=48172&url=http%3A%2F%2Fwww.printland.in%2F%3Futm_source%3Dvcom%26utm_medium%3Daffiliate%26utm_campaign%3Dproduct,"Feb 26, 2016","Mar 31, 2016"
P36850,90,Printland.in CPS - India,Coupon,PG10,Get Flat 15% Off on custom T-Shirts,,,http://tracking.vcommission.com/aff_c?offer_id=90&aff_id=48172&url=http%3A%2F%2Fwww.printland.in%2F%3Futm_source%3Dvcom%26utm_medium%3Daffiliate%26utm_campaign%3Dproduct,"Feb 26, 2016","Mar 31, 2016"
P35890,90,Printland.in CPS - India,Coupon,PG10,Get FLAT 10% Off on All Personalized Gifts,,,http://tracking.vcommission.com/aff_c?offer_id=90&aff_id=48172&url=http%3A%2F%2Fwww.printland.in%2Fpersonalized-gifts%3Futm_source%3Dvcom%26utm_medium%3Daffiliate%26utm_campaign%3Dproduct,"Feb 02, 2016","Mar 31, 2016"
P35891,90,Printland.in CPS - India,Coupon,FLAT500,Get Flat Rs.500 Off on Purchase of Rs.2999 and above,T&amp;amp;C : Not valid on gold and silver Coin.,,http://tracking.vcommission.com/aff_c?offer_id=90&aff_id=48172&url=http%3A%2F%2Fwww.printland.in%2Fpersonalized-gifts%3Futm_source%3Dvcom%26utm_medium%3Daffiliate%26utm_campaign%3Dproduct,"Feb 02, 2016","Mar 31, 2016"
P35892,90,Printland.in CPS - India,Coupon,MUG20,Get FLAT 20% Off On Personalized Mugs,,,http://tracking.vcommission.com/aff_c?offer_id=90&aff_id=48172&url=http%3A%2F%2Fwww.printland.in%2Fitems%2Fmugs.html%3Futm_source%3Dvcom%26utm_medium%3Daffiliate%26utm_campaign%3Dproduct,"Feb 02, 2016","Mar 31, 2016"
P35893,90,Printland.in CPS - India,Coupon,VCMC15,Get FLAT 15% Off On Custom Mobile Covers,,,http://tracking.vcommission.com/aff_c?offer_id=90&aff_id=48172&url=http%3A%2F%2Fwww.printland.in%2Fitems%2Fmobile-phone-covers.html%3Futm_source%3Dvcom%26utm_medium%3Daffiliate%26utm_campaign%3Dproduct,"Feb 02, 2016","Mar 31, 2016"
P35894,90,Printland.in CPS - India,Coupon,VCTS30,Get FLAT 30% Off On Effit T-Shirts,,,http://tracking.vcommission.com/aff_c?offer_id=90&aff_id=48172&url=http%3A%2F%2Fwww.printland.in%2Fitems%2Feffit%2Bt-shirts.html%3Futm_source%3Dvcom%26utm_medium%3Daffiliate%26utm_campaign%3Dproduct,"Feb 02, 2016","Mar 31, 2016"
P35895,90,Printland.in CPS - India,Coupon,VCCAL15,Get Flat 15% Off on Calendars,,,http://tracking.vcommission.com/aff_c?offer_id=90&aff_id=48172&url=http%3A%2F%2Fwww.printland.in%2Fitems%2Fcalendars.html%3Futm_source%3Dvcom%26utm_medium%3Daffiliate%26utm_campaign%3Dproduct,"Feb 02, 2016","Mar 31, 2016"
P35896,90,Printland.in CPS - India,Coupon,VCHD15,Get Flat 15% Off on Hoodies,,,http://tracking.vcommission.com/aff_c?offer_id=90&aff_id=48172&url=http%3A%2F%2Fwww.printland.in%2Fitems%2Fhoodies.html%3Futm_source%3Dvcom%26utm_medium%3Daffiliate%26utm_campaign%3Dproduct,"Feb 02, 2016","Mar 31, 2016"
P35904,90,Printland.in CPS - India,Coupon,VCPD50,Get FLAT Rs.50 Off On Custom Credit Card Pen Drives,,,http://tracking.vcommission.com/aff_c?offer_id=90&aff_id=48172&url=http%3A%2F%2Fwww.printland.in%2Fitems%2Fcredit-card-shape%2Bpen-drives.html%3Futm_source%3Dvcom%26utm_medium%3Daffiliate%26utm_campaign%3Dproduct,"Feb 02, 2016","Mar 31, 2016"
P37033,90,Printland.in CPS - India,Coupon,VCPB50,Get FLAT Rs.50 Off on Personalized Power Banks,,,http://tracking.vcommission.com/aff_c?offer_id=90&aff_id=48172&url=http%3A%2F%2Fwww.printland.in%2Fitems%2Fpower-banks.html%3Futm_source%3Dvcom%26utm_medium%3Daffiliate%26utm_campaign%3Dproduct,"Mar 01, 2016","Mar 31, 2016"
P31646,100,Zivame.com CPS - India,Coupon,AF15VCM,15% OFF on a minimum order value of Rs. 1249. (Applicable site-wide).,,Innerwear &amp; Swimwear,http://tracking.vcommission.com/aff_c?offer_id=100&aff_id=48172&url=http%3A%2F%2Fwww.zivame.com%2F%3Futm_source%3DAffiliates%26utm_medium%3DVcommission%26utm_campaign%3DGenericJune,"Nov 04, 2015","Mar 31, 2016"
P31647,100,Zivame.com CPS - India,Coupon,AF350VCM,Rs. 350 OFF on a minimum order value of Rs. 1999. (Applicable site-wide).,,Innerwear &amp; Swimwear,http://tracking.vcommission.com/aff_c?offer_id=100&aff_id=48172&url=http%3A%2F%2Fwww.zivame.com%2F%3Futm_source%3DAffiliates%26utm_medium%3DVcommission%26utm_campaign%3DGenericJune,"Nov 04, 2015","Mar 31, 2016"
P31648,100,Zivame.com CPS - India,Coupon,AFPEN20V,20% OFF on a minimum order value of Rs. 1349. (Applicable on Penny),,Innerwear &amp; Swimwear,http://tracking.vcommission.com/aff_c?offer_id=100&aff_id=48172&url=http%3A%2F%2Fwww.zivame.com%2F%3Futm_source%3DAffiliates%26utm_medium%3DVcommission%26utm_campaign%3DGenericJune,"Nov 04, 2015","Mar 31, 2016"
P35934,100,Zivame.com CPS - India,Coupon,AFCOU250V,Rs. 250 OFF on a minimum order value of Rs. 1249. (Applicable on Coucou),,Innerwear &amp; Swimwear,http://tracking.vcommission.com/aff_c?offer_id=100&aff_id=48172&url=http%3A%2F%2Fwww.zivame.com%2F%3Futm_source%3DAffiliates%26utm_medium%3DVcommission%26utm_campaign%3DGenericJune,"Feb 02, 2016","Mar 31, 2016"
P37409,100,Zivame.com CPS - India,Promotion,,Funky Comfy Nightwear - Flat 40% OFF,,Innerwear &amp; Swimwear,http://tracking.vcommission.com/aff_c?offer_id=100&aff_id=48172&url=http%3A%2F%2Fwww.zivame.com%2Feoss.html%3Futm_source%3DAffiliates%26utm_medium%3DVcommission%26utm_campaign%3DGenericJune,"Mar 14, 2016","Mar 17, 2016"
P36911,102,Yepme.com CPS - India,Promotion,,Get Flat 499 off on Men Kurta,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36912,102,Yepme.com CPS - India,Promotion,,End of Season sale : Get upto 80% Off on Men winterwear,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36913,102,Yepme.com CPS - India,Promotion,,End of season sale : Get upto 70%off on women winterwear,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36914,102,Yepme.com CPS - India,Promotion,,Buy 1 Get 1 free on Casual Shoes,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36915,102,Yepme.com CPS - India,Promotion,,Buy 1 Get 1 free on Formal Shoes,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36916,102,Yepme.com CPS - India,Promotion,,Buy 1 Get 1 free on Sports Shoes,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36917,102,Yepme.com CPS - India,Promotion,,Men Footwear Starting at Rs. 299,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36918,102,Yepme.com CPS - India,Promotion,,Get upto 60% Off on Men Premium Shoes,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36919,102,Yepme.com CPS - India,Promotion,,Men Watches starting at Rs. 199,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36920,102,Yepme.com CPS - India,Promotion,,Men Chrono Watches starting at Rs.699,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36921,102,Yepme.com CPS - India,Promotion,,Men Multi-function Watches starting at Rs.499,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36922,102,Yepme.com CPS - India,Promotion,,Men Dual Watches starting at Rs.199,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36923,102,Yepme.com CPS - India,Promotion,,Analog DigitalWatch starting at Rs.899,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36924,102,Yepme.com CPS - India,Promotion,,Women Bottomwear starting at Rs.249,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36925,102,Yepme.com CPS - India,Promotion,,Get upto 60% Off on Men Shirts,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36926,102,Yepme.com CPS - India,Promotion,,Women watches starting at Rs.199,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36927,102,Yepme.com CPS - India,Promotion,,Buy Men Tees 3 at Rs. 499,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36928,102,Yepme.com CPS - India,Promotion,,Buy Women Kurtis 3 at Rs.699,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36929,102,Yepme.com CPS - India,Promotion,,Buy Women Tees 3 at Rs. 499,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36930,102,Yepme.com CPS - India,Promotion,,Buy Women Tops  2 at Rs.599,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36931,102,Yepme.com CPS - India,Promotion,,Get Flat 60% Off on Women Dresses,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36932,102,Yepme.com CPS - India,Promotion,,Women Premium Footwear starting at Rs. 299,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36933,102,Yepme.com CPS - India,Promotion,,Women Footwear starting at Rs. 149,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36934,102,Yepme.com CPS - India,Promotion,,women sandals starting at Rs.119,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36935,102,Yepme.com CPS - India,Promotion,,Get Flat 60% Off on women SKD,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36936,102,Yepme.com CPS - India,Promotion,,Women Jumpsuit starting at Rs.499,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
P36937,102,Yepme.com CPS - India,Promotion,,End of season sale : Get upto 80%off on Men Tracksuits,,,http://tracking.vcommission.com/aff_c?offer_id=102&aff_id=48172&url=http%3A%2F%2Fwww.yepme.com%2F,"Mar 01, 2016","Mar 31, 2016"
